Country,Status,Process,Age Group,Sex,  POC  
Somalis,REF,A,60+ years,Female,34
Somalis,REF,A,60+ years,Male,26
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 2 
Other Nationalites,REF,A,0 - 4 years,Male, 1 
Other Nationalites,REF,A,12 - 17 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 1 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 3 
Other Nationalites,ASR,A,0 - 4 years,Male, 4 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,12 - 17 years,Male, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 18 
Other Nationalites,ASR,A,18 - 59 years,Male, 40 
Other Nationalites,ASR,A,5 - 11 years,Female, 5 
Other Nationalites,ASR,A,5 - 11 years,Male, 10 
Other Nationalites,ASR,A,60+ years,Male, 2 
Other Nationalites,REF,A,0 - 4 years,Female, 16 
Other Nationalites,REF,A,0 - 4 years,Male, 18 
Other Nationalites,REF,A,12 - 17 years,Female, 15 
Other Nationalites,REF,A,12 - 17 years,Male, 11 
Other Nationalites,REF,A,18 - 59 years,Female, 53 
Other Nationalites,REF,A,18 - 59 years,Male, 126 
Other Nationalites,REF,A,5 - 11 years,Female, 17 
Other Nationalites,REF,A,5 - 11 years,Male, 17 
Other Nationalites,REF,A,60+ years,Male, 4 
Other Nationalites,ASR,A,0 - 4 years,Female, 6 
Other Nationalites,ASR,A,0 - 4 years,Male, 9 
Other Nationalites,ASR,A,18 - 59 years,Female, 437 
Other Nationalites,ASR,A,18 - 59 years,Male, 115 
Other Nationalites,ASR,A,5 - 11 years,Female, 2 
Other Nationalites,REF,A,0 - 4 years,Female, 2 
Other Nationalites,REF,A,0 - 4 years,Male, 2 
Other Nationalites,REF,A,18 - 59 years,Female, 15 
Other Nationalites,REF,A,18 - 59 years,Male, 6 
Other Nationalites,ASR,A,12 - 17 years,Male, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 6 
Other Nationalites,ASR,A,18 - 59 years,Male, 18 
Other Nationalites,REF,A,18 - 59 years,Female, 4 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 1 
Other Nationalites,ASR,A,0 - 4 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Female, 4 
Other Nationalites,ASR,A,12 - 17 years,Male, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 42 
Other Nationalites,ASR,A,18 - 59 years,Male, 64 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,5 - 11 years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 1 
Other Nationalites,REF,A,0 - 4 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 2 
Other Nationalites,REF,A,18 - 59 years,Male, 2 
Other Nationalites,ASR,A,0 - 4 years,Female, 4 
Other Nationalites,ASR,A,0 - 4 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Male, 3 
Other Nationalites,ASR,A,18 - 59 years,Female, 44 
Other Nationalites,ASR,A,18 - 59 years,Male, 81 
Other Nationalites,ASR,A,5 - 11 years,Female, 3 
Other Nationalites,ASR,A,5 - 11 years,Male, 1 
Other Nationalites,ASR,A,60+ years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 1 
Other Nationalites,REF,A,0 - 4 years,Male, 4 
Other Nationalites,REF,A,12 - 17 years,Female, 3 
Other Nationalites,REF,A,12 - 17 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 19 
Other Nationalites,REF,A,18 - 59 years,Male, 20 
Other Nationalites,REF,A,5 - 11 years,Female, 3 
Other Nationalites,REF,A,5 - 11 years,Male, 2 
Other Nationalites,REF,A,60+ years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 4 
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Iraqi,ASR,A,0 - 4 years,Female,"4,961"
Iraqi,ASR,A,0 - 4 years,Male,"5,262"
Iraqi,ASR,A,12 - 17 years,Female,"5,313"
Iraqi,ASR,A,12 - 17 years,Male,"6,310"
Iraqi,ASR,A,18 - 59 years,Female,"22,636"
Iraqi,ASR,A,18 - 59 years,Male,"34,402"
Iraqi,ASR,A,5 - 11 years,Female,"8,972"
Iraqi,ASR,A,5 - 11 years,Male,"9,668"
Iraqi,ASR,A,60+ years,Female,"1,388"
Iraqi,ASR,A,60+ years,Male,"1,406"
Iraqi,ASR,H,0 - 4 years,Male,1
Iraqi,ASR,H,12 - 17 years,Female,2
Iraqi,ASR,H,12 - 17 years,Male,2
Iraqi,ASR,H,18 - 59 years,Female,3
Iraqi,ASR,H,18 - 59 years,Male,9
Iraqi,ASR,H,5 - 11 years,Female,3
Iraqi,ASR,H,5 - 11 years,Male,4
Iraqi,REF,A,0 - 4 years,Female,"1,290"
Iraqi,REF,A,0 - 4 years,Male,"1,387"
Iraqi,REF,A,12 - 17 years,Female,"1,902"
Iraqi,REF,A,12 - 17 years,Male,"2,221"
Iraqi,REF,A,18 - 59 years,Female,"8,529"
Iraqi,REF,A,18 - 59 years,Male,"10,561"
Iraqi,REF,A,5 - 11 years,Female,"2,903"
Iraqi,REF,A,5 - 11 years,Male,"3,088"
Iraqi,REF,A,60+ years,Female,819
Iraqi,REF,A,60+ years,Male,729
Iraqi,REF,H,0 - 4 years,Female,1
Iraqi,REF,H,0 - 4 years,Male,3
Iraqi,REF,H,12 - 17 years,Female,2
Iraqi,REF,H,12 - 17 years,Male,2
Iraqi,REF,H,18 - 59 years,Female,11
Iraqi,REF,H,18 - 59 years,Male,12
Iraqi,REF,H,5 - 11 years,Female,7
Iraqi,REF,H,5 - 11 years,Male,4
Iraqi,REF,H,60+ years,Male,2
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 3 
Other Nationalites,ASR,A,0 - 4 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 33 
Other Nationalites,ASR,A,18 - 59 years,Male, 9 
Other Nationalites,ASR,A,5 - 11 years,Male, 3 
Other Nationalites,ASR,A,60+ years,Female, 2 
Other Nationalites,ASR,A,60+ years,Male, 2 
Other Nationalites,REF,A,18 - 59 years,Female, 29 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,5 - 11 years,Female, 1 
Other Nationalites,REF,A,60+ years,Female, 2 
Other Nationalites,ASR,A,0 - 4 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 1 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,12 - 17 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 12 
Other Nationalites,ASR,A,18 - 59 years,Male, 16 
Other Nationalites,ASR,A,5 - 11 years,Male, 3 
Other Nationalites,REF,A,12 - 17 years,Female, 1 
Other Nationalites,REF,A,12 - 17 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 6 
Other Nationalites,REF,A,18 - 59 years,Male, 4 
Other Nationalites,REF,A,5 - 11 years,Female, 1 
Other Nationalites,REF,A,60+ years,Female, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 26 
Other Nationalites,ASR,A,0 - 4 years,Male, 19 
Other Nationalites,ASR,A,12 - 17 years,Female, 35 
Other Nationalites,ASR,A,12 - 17 years,Male, 45 
Other Nationalites,ASR,A,18 - 59 years,Female, 167 
Other Nationalites,ASR,A,18 - 59 years,Male, 264 
Other Nationalites,ASR,A,5 - 11 years,Female, 42 
Other Nationalites,ASR,A,5 - 11 years,Male, 55 
Other Nationalites,ASR,A,60+ years,Female, 18 
Other Nationalites,ASR,A,60+ years,Male, 24 
Other Nationalites,REF,A,0 - 4 years,Female, 37 
Other Nationalites,REF,A,0 - 4 years,Male, 38 
Other Nationalites,REF,A,12 - 17 years,Female, 49 
Other Nationalites,REF,A,12 - 17 years,Male, 51 
Other Nationalites,REF,A,18 - 59 years,Female, 332 
Other Nationalites,REF,A,18 - 59 years,Male, 344 
Other Nationalites,REF,A,5 - 11 years,Female, 62 
Other Nationalites,REF,A,5 - 11 years,Male, 81 
Other Nationalites,REF,A,60+ years,Female, 60 
Other Nationalites,REF,A,60+ years,Male, 64 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 4 
Other Nationalites,ASR,A,0 - 4 years,Female, 2 
Other Nationalites,ASR,A,0 - 4 years,Male, 1 
Other Nationalites,ASR,A,12 - 17 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 3 
Other Nationalites,ASR,A,18 - 59 years,Male, 6 
Other Nationalites,ASR,A,5 - 11 years,Female, 3 
Other Nationalites,ASR,A,5 - 11 years,Male, 3 
Other Nationalites,ASR,A,60+ years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Male, 1 
Other Nationalites,REF,A,12 - 17 years,Female, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 1 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,5 - 11 years,Male, 2 
Other Nationalites,ASR,A,0 - 4 years,Female, 9 
Other Nationalites,ASR,A,0 - 4 years,Male, 14 
Other Nationalites,ASR,A,12 - 17 years,Female, 10 
Other Nationalites,ASR,A,12 - 17 years,Male, 12 
Other Nationalites,ASR,A,18 - 59 years,Female, 60 
Other Nationalites,ASR,A,18 - 59 years,Male, 119 
Other Nationalites,ASR,A,5 - 11 years,Female, 9 
Other Nationalites,ASR,A,5 - 11 years,Male, 12 
Other Nationalites,ASR,A,60+ years,Female, 2 
Other Nationalites,ASR,A,60+ years,Male, 2 
Other Nationalites,REF,A,0 - 4 years,Female, 2 
Other Nationalites,REF,A,0 - 4 years,Male, 9 
Other Nationalites,REF,A,12 - 17 years,Female, 10 
Other Nationalites,REF,A,12 - 17 years,Male, 13 
Other Nationalites,REF,A,18 - 59 years,Female, 41 
Other Nationalites,REF,A,18 - 59 years,Male, 52 
Other Nationalites,REF,A,5 - 11 years,Female, 10 
Other Nationalites,REF,A,5 - 11 years,Male, 17 
Other Nationalites,REF,A,60+ years,Female, 2 
Other Nationalites,REF,A,60+ years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 1 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 10 
Other Nationalites,ASR,A,18 - 59 years,Male, 8 
Other Nationalites,REF,A,18 - 59 years,Female, 2 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 5 
Other Nationalites,ASR,A,0 - 4 years,Male, 9 
Other Nationalites,ASR,A,12 - 17 years,Female, 5 
Other Nationalites,ASR,A,12 - 17 years,Male, 12 
Other Nationalites,ASR,A,18 - 59 years,Female, 35 
Other Nationalites,ASR,A,18 - 59 years,Male, 82 
Other Nationalites,ASR,A,5 - 11 years,Female, 21 
Other Nationalites,ASR,A,5 - 11 years,Male, 18 
Other Nationalites,ASR,A,60+ years,Female, 2 
Other Nationalites,ASR,A,60+ years,Male, 5 
Other Nationalites,REF,A,0 - 4 years,Female, 2 
Other Nationalites,REF,A,0 - 4 years,Male, 3 
Other Nationalites,REF,A,12 - 17 years,Female, 2 
Other Nationalites,REF,A,12 - 17 years,Male, 3 
Other Nationalites,REF,A,18 - 59 years,Female, 14 
Other Nationalites,REF,A,18 - 59 years,Male, 18 
Other Nationalites,REF,A,5 - 11 years,Female, 3 
Other Nationalites,REF,A,5 - 11 years,Male, 3 
Other Nationalites,REF,A,60+ years,Female, 2 
Other Nationalites,REF,A,60+ years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 4 
Other Nationalites,ASR,A,0 - 4 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Female, 2 
Other Nationalites,ASR,A,12 - 17 years,Male, 4 
Other Nationalites,ASR,A,18 - 59 years,Female, 14 
Other Nationalites,ASR,A,18 - 59 years,Male, 19 
Other Nationalites,ASR,A,5 - 11 years,Female, 5 
Other Nationalites,ASR,A,5 - 11 years,Male, 8 
Other Nationalites,ASR,A,60+ years,Male, 2 
Other Nationalites,REF,A,0 - 4 years,Female, 2 
Other Nationalites,REF,A,0 - 4 years,Male, 1 
Other Nationalites,REF,A,12 - 17 years,Female, 2 
Other Nationalites,REF,A,12 - 17 years,Male, 2 
Other Nationalites,REF,A,18 - 59 years,Female, 7 
Other Nationalites,REF,A,18 - 59 years,Male, 6 
Other Nationalites,REF,A,5 - 11 years,Female, 2 
Other Nationalites,REF,A,5 - 11 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 3 
Other Nationalites,REF,A,18 - 59 years,Female, 2 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,5 - 11 years,Male, 2 
Other Nationalites,ASR,A,0 - 4 years,Female, 5 
Other Nationalites,ASR,A,0 - 4 years,Male, 1 
Other Nationalites,ASR,A,12 - 17 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 41 
Other Nationalites,ASR,A,18 - 59 years,Male, 16 
Other Nationalites,ASR,A,5 - 11 years,Female, 3 
Other Nationalites,ASR,A,5 - 11 years,Male, 2 
Other Nationalites,REF,A,0 - 4 years,Female, 2 
