Province,Syrians,Iraqis,Afghans,Others,NonSyrian Total,Total,PCODE,Lat,Long,AoR
KIRIKKALE,1094,4049,4522,1285,9856,10950,TUR071,39.86347749,33.70723013,Ankara
KIRKLARELI,2450,1,59,9,69,2519,TUR039,41.6778707,27.44130576,Marmara
KIRSEHIR,949,5664,4325,489,10478,11427,TUR040,39.31446534,34.11934487,Ankara
KOCAELI,46686,15,53,32,100,46786,TUR041,40.84854683,29.88486802,Marmara
KONYA,97018,2169,8579,1213,11961,108979,TUR042,38.03738858,32.60166925,Ankara
KUTAHYA,627,4849,3377,1518,9744,10371,TUR043,39.29808433,29.58416794,Ankara
MALATYA,26468,22,892,33,947,27415,TUR044,38.5185676,38.12829346,Southeast
MANISA,12212,1556,2472,2212,6240,18452,TUR045,38.76215527,28.12774434,Ankara
MARDIN,92417,1755,8,6,1769,94186,TUR047,37.34308652,40.83328728,Southeast
MERSIN,209150,535,243,834,1612,210762,TUR033,36.70008202,33.84288031,Ankara
MUGLA,13439,9,3,5,17,13456,TUR048,37.00723757,28.49662472,Izmir
MUS,1266,0,24,0,24,1290,TUR049,38.99759975,41.85260422,Van
NEVSEHIR,8903,1190,7770,1722,10682,19585,TUR050,38.79173485,34.70368444,Ankara
NIGDE,3720,793,1258,749,2800,6520,TUR051,37.91080737,34.68288651,Ankara
ORDU,592,4470,522,360,5352,5944,TUR052,40.79091704,37.49372082,Ankara
OSMANIYE,50745,0,0,4,4,50749,TUR080,37.27665599,36.26031228,Southeast
RIZE,787,0,5,0,5,792,TUR053,40.93361955,40.86493584,Ankara
SAKARYA,14001,10960,4841,1058,16859,30860,TUR054,40.7438319,30.50354112,Marmara
SAMSUN,3658,15140,763,223,16126,19784,TUR055,41.21976266,35.98735602,Ankara
SANLIURFA,473952,227,35,27,289,474241,TUR063,37.24565355,39.09984286,Southeast
SIIRT,3808,23,73,11,107,3915,TUR056,37.90439988,42.12607141,Van
SINOP,104,2197,3076,340,5613,5717,TUR057,41.62525189,34.87100701,Ankara
SIRNAK,14932,42,2,4,48,14980,TUR073,37.45468648,42.51843335,Van
SIVAS,3423,289,5934,704,6927,10350,TUR058,39.55940875,37.29289077,Ankara
TEKIRDAG,10578,3,12,4,19,10597,TUR059,41.08340445,27.38611865,Marmara
TOKAT,915,2640,7848,192,10680,11595,TUR060,40.36548977,36.56323595,Ankara
TRABZON,2532,809,6892,923,8624,11156,TUR061,40.80498689,39.8174003,Ankara
TUNCELI,44,0,1,0,1,45,TUR062,39.19568094,39.49235462,Ankara
USAK,2150,1520,5413,1975,8908,11058,TUR064,38.57707151,29.36172395,Ankara
VAN,1784,173,753,1274,2200,3984,TUR065,38.47014886,43.58518501,Van
YALOVA,3313,4114,4087,2378,10579,13892,TUR077,40.59545963,29.18805974,Marmara
YOZGAT,3051,4898,1365,323,6586,9637,TUR066,39.65433484,35.24768747,Ankara
ZONGULDAK,324,2005,2796,1036,5837,6161,TUR067,41.26006286,31.8450589,Ankara
Province,Syrians,Iraqis,Afghans,Others,NonSyrian Total,Total,PCODE,Lat,Long,AoR
ADANA,214672,1783,480,572,2835,217507,TUR001,37.39982884,35.58108307,Southeast
ADIYAMAN,29592,430,1317,67,1814,31406,TUR002,37.79339849,38.29581413,Southeast
AFYONKARAHISAR,3812,5554,5982,1770,13306,17118,TUR003,38.63405695,30.65252763,Ankara
AGRI,772,1,414,54,469,1241,TUR004,39.55947601,43.24982147,Van
AKSARAY,1963,1519,12842,1194,15555,17518,TUR068,38.44381512,33.83994012,Ankara
AMASYA,465,3374,525,127,4026,4491,TUR005,40.70913509,35.71494488,Ankara
ANKARA,90103,1115,848,625,2588,92691,TUR006,39.80131865,32.58105246,Ankara
ANTALYA,968,8,12,48,68,1036,TUR007,36.80619176,30.91798559,Izmir
ARDAHAN,106,12,47,1,60,166,TUR075,41.11741387,42.80598482,Ankara
ARTVIN,36,18,107,20,145,181,TUR008,41.12528441,41.82874061,Ankara
AYDIN,11392,1,4,17,22,11414,TUR009,37.74495801,28.00606598,Izmir
BALIKESIR,3391,3424,1344,2329,7097,10488,TUR010,39.68209631,27.87935691,Marmara
BARTIN,85,0,10,0,10,95,TUR074,41.5891349,32.52238512,Ankara
